ID,学習達成度,ICT利用時間,デジタル教材活用度,オンライン協働回数,自己調整学習スコア,教師ICTサポート,保護者ICT理解,通信環境品質,学習動機,プログラミング経験,情報モラル理解度,合格判定
1,54.4,1.7,53.6,12,53.0,4.5,1.9,5,4.9,1.8,71.2,合格
2,71.5,4.7,79.0,19,69.6,4.0,2.2,3.8,4.8,2.1,85.0,合格
3,55.3,3.7,55.7,7,58.1,3.4,4.2,4.5,2.3,2.6,73.9,合格
4,80.6,4.5,95,23,80.4,5,5,3.8,5,4.3,100,合格
5,67.6,4.1,73.2,21,80.8,2.8,2.8,4.0,3.5,2.5,64.9,不合格
6,65.7,3.6,82.4,18,71.5,5,4.1,5,3.8,2.8,89.7,合格
7,68.4,4.6,49.4,9,76.0,3.7,3.8,3.1,4.8,0.8,55.9,合格
8,42.0,2.3,37.6,8,65.8,2.1,4.2,4.0,3.3,0.9,50.6,不合格
9,51.8,2.9,39.0,16,54.0,3.0,2.9,4.3,3.2,0.1,56.3,合格
10,58.3,3.6,54.6,10,77.1,2.6,3.6,2.0,4.2,3.3,80.6,合格
11,51.0,2.6,36.4,11,56.4,2.7,2.1,4.6,4.4,1.5,61.5,合格
12,25.1,1.6,18.9,3,39.3,2.7,2.0,2.5,2.0,1.2,56.1,不合格
13,63.4,2.9,60.5,10,62.0,3.8,3.1,3.3,3.6,2.7,72.6,合格
14,60.1,2.2,67.1,12,61.3,3.3,3.3,3.0,4.2,2.1,64.1,不合格
15,50.0,0.9,24.0,9,56.0,4.0,1,3.9,4.1,2.2,31.7,合格
16,51.8,2.4,53.4,9,73.3,3.0,1.3,3.3,1.5,0.8,71.7,不合格
17,76.7,4.1,80.0,16,63.7,5,3.3,2.8,3.9,2.4,80.2,合格
18,51.1,3.8,47.4,12,54.8,4.6,2.2,3.6,3.7,2.4,59.7,不合格
19,41.8,2.2,40.5,12,43.8,3.2,4.8,3.6,3.4,2.7,53.8,不合格
20,58.9,4.8,50.2,10,68.7,3.9,3.9,4.1,3.3,2.6,56.1,合格
21,43.9,4.0,40.9,12,50.7,2.9,3.4,2.5,3.9,0.6,71.0,不合格
22,40.1,0.5,43.0,2,28.1,3.5,2.6,3.1,3.1,0,33.7,合格
23,60.8,2.4,81.3,16,67.5,4.1,2.3,4.5,5,3.6,71.8,合格
24,37.9,2.4,33.8,9,52.0,3.6,3.0,3.8,3.0,2.4,48.3,不合格
25,56.3,3.4,45.6,11,66.7,4.0,3.6,2.6,3.3,1.6,69.1,合格
26,30.8,2.0,33.3,3,35.3,2.2,2.7,1.8,2.6,2.1,59.6,不合格
27,37.3,2.6,15,4,57.6,3.2,2.7,4.5,2.1,1.2,54.8,合格
28,49.7,3.7,56.3,22,74.4,2.7,2.8,4.5,3.4,2.8,80.2,合格
29,52.3,2.2,65.2,11,49.2,4.5,4.0,2.0,3.3,1.5,83.3,合格
30,43.9,0.8,40.7,12,58.4,2.6,4.0,4.4,2.8,0.9,54.3,不合格
31,55.1,4.1,56.3,17,54.5,4.6,1.6,5,3.5,1.1,66.4,不合格
32,82.4,5.2,80.6,15,85.0,3.9,2.6,4.4,3.5,2.3,78.9,合格
33,57.4,3.2,61.2,12,64.2,3.6,3.3,3.3,3.6,1.9,65.1,合格
34,58.1,4.0,37.7,14,53.8,3.5,3.1,4.5,3.8,2.6,77.6,不合格
35,29.0,1.2,28.2,2,30.8,3.4,3.3,1,1.8,0.4,55.0,不合格
36,46.2,1.4,54.3,8,45.1,2.9,1.9,3.2,3.6,1.5,81.7,合格
37,47.8,2.5,53.7,2,42.8,2.9,3.0,3.1,3.1,3.5,46.2,不合格
38,50.3,1.6,46.2,15,52.7,3.8,3.0,3.3,3.2,3.1,84.7,合格
39,45.3,2.8,47.6,11,50.6,2.6,4.0,2.9,3.6,3.1,61.8,不合格
40,42.7,1.8,54.0,7,52.4,3.3,2.0,2.6,3.1,2.1,66.5,不合格
41,77.0,5.2,80.4,11,85.0,4.2,3.7,4.2,4.7,4.0,83.7,合格
42,42.8,2.1,57.8,3,43.9,3.5,3.0,2.5,2.7,0.2,66.2,不合格
43,53.4,2.9,55.9,6,54.5,2.8,4.1,4.6,2.6,2.1,71.4,不合格
44,52.3,2.9,38.6,15,68.4,3.3,2.7,2.6,4.2,3.2,60.6,合格
45,46.9,1.9,47.6,9,49.6,3.0,3.0,2.4,3.8,2.9,58.7,不合格
46,41.8,1.2,34.0,1,59.7,3.2,3.6,4.5,3.3,1.8,55.7,合格
47,46.3,3.8,44.8,8,50.9,2.1,2.6,4.1,3.6,1.8,65.9,合格
48,41.6,0.9,37.5,7,53.2,2.4,1.8,3.2,2.7,2.1,59.4,不合格
49,63.4,3.3,64.4,11,59.6,2.9,3.4,3.5,3.2,2.1,73.0,不合格
50,57.7,1.2,63.5,10,72.5,4.0,3.3,3.0,2.6,1.5,49.8,合格
